+-----+---------------+--------+---------+-----------+--------------+-------------+-------------+-------------+----------+----------+
|  nr |      name     | symbol |   mass  |  density  | calc density | difference1 | emp density | difference2 | distance |  zetta   |
+-----+---------------+--------+---------+-----------+--------------+-------------+-------------+-------------+----------+----------+
|  1  |    hydrogen   |   H    |  1.007  | 8.988e-05 |    2.6815    |    2.6814   |   25.5494   |   25.5493   | 3.5e-07  |  0.0537  |
|  2  |     helium    |   He   |  4.002  | 0.0001785 |   53.2553    |   53.2551   |    0.9181   |    0.918    | 4.4e-07  |  0.0269  |
|  3  |    lithium    |   Li   |  6.941  |   0.534   |    0.5908    |    0.0568   |    0.9026   |    0.3686   |  4e-08   | 46.3298  |
|  4  |   beryllium   |   Be   |  9.012  |    1.85   |    2.5429    |    0.6929   |    3.0862   |    1.2362   |  3e-08   | 123.6207 |
|  5  |     boron     |   B    |  10.811 |    2.34   |    6.5085    |    4.1685   |    6.9788   |    4.6388   |  3e-08   | 130.3439 |
|  6  |     carbon    |   C    |  12.011 |   2.267   |   15.8316    |   13.5646   |   13.8821   |   11.6151   |  3e-08   | 113.6614 |
|  7  |    nitrogen   |   N    |  14.007 | 0.0012506 |   31.6193    |    31.618   |   20.2197   |   20.2185   | 3.5e-07  |  0.0538  |
|  8  |     oxygen    |   O    |  15.999 |  0.001429 |   57.3508    |   57.3494   |   29.3636   |   29.3622   | 3.5e-07  |  0.0538  |
|  9  |    fluorine   |   F    |  18.998 |  0.001696 |   101.6554   |   101.6538  |   60.2516   |   60.2499   | 3.5e-07  |  0.0538  |
|  10 |      neon     |   Ne   |  20.18  | 0.0008999 |   145.7945   |   145.7936  |    1.9531   |    1.9522   | 4.4e-07  |  0.0269  |
|  11 |     sodium    |   Na   |  22.99  |   0.971   |    1.3288    |    0.3578   |    1.5628   |    0.5918   |  5e-08   | 25.4344  |
|  12 |   magnesium   |   Mg   |  24.305 |   1.738   |    3.1605    |    1.4225   |    2.8549   |    1.1169   |  4e-08   | 43.0621  |
|  13 |   aluminium   |   Al   |  26.982 |   2.698   |    6.5103    |    3.8123   |    5.4766   |    2.7786   |  3e-08   | 60.2155  |
|  14 |    silicon    |   Si   |  28.086 |   2.3296  |    8.1413    |    5.8117   |    8.3653   |    6.0357   |  4e-08   | 49.9496  |
|  15 |   phosphorus  |   P    |  30.974 |    1.82   |   13.0464    |   11.2264   |   12.2791   |   10.4591   |  4e-08   | 35.3846  |
|  16 |     sulfur    |   S    |  32.065 |   2.067   |   18.6532    |   16.5862   |   12.7116   |   10.6446   |  4e-08   | 38.8195  |
|  17 |    chlorine   |   Cl   |  35.453 |  0.003214 |   28.5064    |   28.5032   |   14.0548   |   14.0516   | 3.5e-07  |  0.0546  |
|  18 |     argon     |   Ar   |  39.948 | 0.0017837 |   44.2477    |   44.2459   |   44.2477   |   44.2459   | 4.4e-07  |  0.0269  |
|  19 |   potassium   |   K    |  39.098 |   0.862   |    1.0802    |    0.2182   |    1.4557   |    0.5937   |  6e-08   | 13.2768  |
|  20 |    calcium    |   Ca   |  40.078 |    1.54   |    2.1761    |    0.6361   |    2.7243   |    1.1843   |  5e-08   | 23.1396  |
|  21 |    scandium   |   Sc   |  44.956 |   2.989   |    2.8609    |    0.1281   |    4.3511   |    1.3621   |  4e-08   | 40.0386  |
|  22 |    titanium   |   Ti   |  47.867 |    4.54   |    3.4807    |    1.0593   |    6.9155   |    2.3755   |  3e-08   | 57.1163  |
|  23 |    vanadium   |   V    |  50.942 |    6.11   |    4.0389    |    2.0711   |    8.2082   |    2.0982   |  3e-08   | 72.2281  |
|  24 |    chromium   |   Cr   |  51.996 |    7.15   |    4.5063    |    2.6437   |    7.512    |    0.362    |  3e-08   | 82.8089  |
|  25 |   manganese   |   Mn   |  54.938 |    7.44   |    5.2187    |    2.2213   |    7.9371   |    0.4971   |  3e-08   | 81.5532  |
|  26 |      iron     |   Fe   |  55.845 |   7.874   |    5.8315    |    2.0425   |    8.0681   |    0.1941   |  3e-08   | 84.9086  |
|  27 |     cobalt    |   Co   |  58.933 |    8.86   |    6.6527    |    2.2073   |    9.4957   |    0.6357   |  3e-08   | 90.5349  |
|  28 |     nickel    |   Ni   |  58.693 |   8.912   |    7.0339    |    1.8781   |    9.457    |    0.545    |  3e-08   | 91.4386  |
|  29 |     copper    |   Cu   |  63.546 |    8.96   |    8.2633    |    0.6967   |    10.239   |    1.279    |  3e-08   | 84.9103  |
|  30 |      zinc     |   Zn   |  65.38  |   7.134   |    9.0521    |    1.9181   |   10.5345   |    3.4005   |  3e-08   | 65.7096  |
|  31 |    gallium    |   Ga   |  69.723 |   5.907   |   10.9883    |    5.0813   |    12.581   |    6.674    |  4e-08   |  51.019  |
|  32 |   germanium   |   Ge   |  72.64  |   5.323   |    14.744    |    9.421    |    14.744   |    9.421    |  4e-08   | 44.1287  |
|  33 |    arsenic    |   As   |  74.922 |   5.776   |   20.0477    |   14.2717   |   19.5293   |   13.7533   |  4e-08   | 46.4257  |
|  34 |    selenium   |   Se   |  78.96  |   4.809   |   28.6461    |   23.8371   |   20.5818   |   15.7728   |  4e-08   | 36.6765  |
